Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
Chariot Tech,Delhi,"Internet of Things, Telecommunications",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,292442.69442836865,2018
Ideal Insurance Brokers/ 121Policy.com,Kolkata,Insurance,Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2018
Loanzen,Bangalore,Financial Services,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,1.0,2018
Mojro Technologies,Bangalore,"Information Technology, Logistics, Supply Chain Management",Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2018
Elemential,Mumbai,"Blockchain, Developer Tools, Enterprise Software","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2018
Loadshare,Bangalore,"Industrial Automation, Logistics, Supply Chain Management",LoadShare is India’s fastest growing logistics company,5000000.0,2018
Yumlane,Mumbai,"Food and Beverage, Food Delivery, Snack Food",Food startup Yumlane operated by QwikPik Technology,4000000.0,2018
Kriger Campus,Delhi,Education,A Education Start Up.,438664.04164255294,2018
Pipa+Bella,Mumbai,"E-Commerce, Fashion, Jewelry, Retail",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2018
Kaleidofin,Chennai,Financial Services,A fintech platform.,2800000.0,2018
Chakr Innovation,Delhi,Renewable Energy,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,1.0,2018
IndigoLearn,Hyderabad,"E-Learning, Education",India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2018
UClean,India,"Clean Energy, CleanTech, Laundry and Dry-cleaning",UClean is a tech enabled laundry service provider.,584885.3888567373,2018
Coutloot,Mumbai,"E-Commerce, Fashion, Mobile",The Fashion Re-commerce platform.,1000000.0,2018
Letstrack,Delhi,"Apps, Messaging, Navigation, Public Safety","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2018
Pooltoo,Delhi,Transportation,Pooltoo offers a premium ride sharing platform.,1.0,2018
Finzy,Bangalore,"Financial Services, Lending",finzy is the premier peer to peer lending solution in India.,1300000.0,2018
Fitternity,Mumbai,"Fitness, Health Care, Wellness",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2018
Keito,Pune,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Building an Intelligent Digital Assistant.,1.0,2018
Tolet for Students,Jodhpur,Hospitality,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",73110.67360709216,2018
Chai Kings,Chennai,"Food and Beverage, Tea",Chai Kings is a tea retail chain,292442.69442836865,2018
Dainik Jagran,Kanpur,"Media and Entertainment, News, Outdoors",Dainik Jagran is a media and communications group.,584885.3888567373,2018
Playtoome,Bangalore,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Playtoome is a live entertainment destination,292442.69442836865,2018
ONGO Framework,Hyderabad,"B2B, Information Services, Information Technology",ONGO Framework is a B2B IT and digital solution provider.,1000000.0,2018
Notesgen,Delhi,"EdTech, Education, Enterprise Software, Peer to Peer",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,182776.6840177304,2018
Arogya MedTech,Kolkata,"Health Care, Medical",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,219332.02082127647,2018
Propshop24,Mumbai,E-Commerce,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",500000.0,2018
myUpchar,Delhi,"Health Care, Hospital, Wellness",To bring health issues to people in their language.,5000000.0,2018
MissMalini Entertainment,Mumbai,—,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",1520702.011027517,2018
Rooter,India,Sports,Rooter is a mobile-based platform,657996.0624638294,2018
ZestMoney,Bangalore,"Big Data, Consumer Lending, FinTech",Zest is India's first completely automated consumer digital lending platform.,13400000.0,2018
alphaics Corporation,Bangalore,"Cloud Computing, Computer, Semiconductor",Advancing AI compute,1.0,2018
MyDentistChoice,Hyderabad,"Health Care, Medical, Pharmaceutical",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,500000.0,2018
Sattviko,Delhi,"Food Processing, Retail",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,1.0,2018
Sensibull,Bangalore,Trading Platform,Investment Management Platform,365553.3680354608,2018
Bombay Shaving Company,Delhi,"Consumer Goods, Lifestyle, Men's",Bombay Shaving Company is a Men's grooming startup,1.0,2018
MedCords,Pune,Wellness,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,386024.3566454466,2018
University Living,Delhi,Education,University Living is an online global student housing marketplace.,1.0,2018
&ME,Bangalore,"Food and Beverage, Food Processing, Nutrition",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,1.0,2018
Enakshi,Ahmedabad,Fashion,Enakshi is an online apparel brand for women.,116977.07777134745,2018
Ultraviolette Automotive,Bangalore,"Automotive, Electric Vehicle, Energy Storage",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,877.3280832851059,2018
Inthree Access,Chennai,"Consulting, Retail, Social",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,4000000.0,2018
BUGWORKS Research India,Bangalore,"Biotechnology, Life Science, Pharmaceutical, Product Research",BUGWORKS is a drug discovery company.,9000000.0,2018
Guardian.in,Mumbai,Health Care,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,1.0,2018
PrestLoans,Delhi,"Credit, Financial Services, FinTech, Personal Finance","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",100000.0,2018
Wimoxez,Hyderabad,Internet,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",20000.0,2018
India Accelerator,Gurgaon,"Communities, Coworking, Incubators",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,1.0,2018
HappyEMI,Bangalore,"Consumer, Financial Services, FinTech",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,1000000.0,2018
Wishup,Azadpur,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Premium Personal Assistance service,1.0,2018
Hansel.io,Bangalore,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",4000000.0,2018
Propelld,Bangalore,"Education, Financial Services, FinTech",Propelld is a student education financing platform.,250000.0,2018
PivotRoots,Mumbai,"Advertising, Consulting, Digital Marketing",Digital Marketing powered by Data & Technology; fueled by Design thinking,1.0,2018
ZiffyHomes,Delhi,"Marketplace, Real Estate, Rental Property",ZiffyHomes is a technology driven marketplace to find out home on rent.,120000.0,2018
Carmesi,Gurgaon,Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,497152.5805282267,2018
OckyPocky,Haryana,"E-Learning, Internet, Video Games",OckyPocky is a interactive and personalised language learning app for preschool kids.,1.0,2018
Racetrack,Bangalore,"Artificial Intelligence, Cloud Computing, Video","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",5000770.074725104,2018
WHR,Pune,"Health Care, Information Technology","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",143145.0,2018
Asteria Aerospace,Bangalore,Aerospace,Asteria Aerospace is a robotics and artificial intelligence company.,1.0,2018
FabAlley,Noida,"E-Commerce, Fashion, Lifestyle","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",8773280.83285106,2018
Tranzmeo,Cochin,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,1.0,2018
SBI Life,Mumbai,Insurance,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,742000000.0,2018
Studds Accessories,Faridabad,E-Commerce,Studds Accessories is a scooter accessories service provider in India,14622134.721418433,2018
Design Cafe,Bangalore,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",29244269.442836866,2018
NoPaperForms Solutions Pvt. Ltd.,Delhi,"EdTech, Education, Information Services, SaaS","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",3980000.0,2018
Rays Power Infra,Jaipur,"Energy, Solar",Rays Power Infra is a leading integrated Solar Power Company.,29244269.442836866,2018
AuthMetrik,Gurgaon,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","SaaS, B2B, Security, Stop account sharing, Fraud Detection",10000.0,2018
Khidki,Bangalore,"Artificial Intelligence, Social",Vernacular Social Network Focused on Town Level Content and Interactions,1.0,2018
LetsTransport,Bangalore,"Logistics, Transportation, Travel",Lets transport is a logistics solution provider.,14622134.721418433,2018
Next Digital Solutions,Kota,"Digital Marketing, SEM, SEO, Web Development",Next Digital Solutions is website design & Digital Marketing development company.,1462.213472141843,2018
Portea Medical,Bangalore,"Health Care, Hospital, Medical",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,3655533.680354608,2018
Aavas Financiers,Jaipur,"Finance, Financial Services","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",29244269.442836866,2018
Swiggy,Bangalore,"Food Delivery, Food Processing, Internet",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,1000000000.0,2018
Milkbasket,Haryana,"E-Commerce, Food and Beverage, Internet","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",7000000.0,2018
Nutrisattva (Proliva),Anand,"Fitness, Food and Beverage, Health Care, Nutrition",Nutrisattva is a protein innovation compan,1.0,2018
Toppr,Mumbai,"EdTech, Education, Knowledge Management",Toppr.com is an online preparation platform for entrance exams in India.,35000000.0,2018
Jagaran Microfin,Kolkata,—,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,8042174.096780138,2018
Vivriti Capital,Chennai,Financial Services,Vivriti Capital is an online platform for institutional debt in India.,28500000.0,2018
Be U Salons,Delhi,"Apps, Beauty, Consumer, Retail",Be U is India's first subscription based Salon Chain.,438664.04164255294,2018
Impact Guru,Mumbai,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2000000.0,2018
MobiKwik,Gurgaon,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,3509312.3331404235,2018
Stones2Milestones,Gurgaon,"E-Learning, Education, Higher Education",Stones2milestones is a Gurgaon Based Learning Company.,1.0,2018
Generico,Mumbai,"Health Care, Medical, Pharmaceutical",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,1.0,2018
Adiuvo Diagnostics,Chennai,Health Diagnostics,Adiuvo Diagnostics is a medical diagnostic device company based in India.,1.0,2018
DataTrained,Bangalore,"EdTech, Education","DataTrained is a educational platform, which operates an ed-tech startup on data science",1754656.1665702118,2018
OneAssist,Mumbai,"Financial Services, SaaS, Security",OneAssist is a protection & assistance services platform.,2400000.0,2018
Satin Creditcare Network Limited (SCNL),Delhi,"Banking, Finance, Financial Services, Non Profit",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,30000000.0,2018
APAC Financial Services,Mumbai,"Finance, Financial Services",APAC Financial Services is a financial services platform.,36555336.80354608,2018
Moglix,Noida,"B2B, E-Commerce, Mobile","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",23000000.0,2018
SEDEMAC Mechatronics,Mumbai,"Automotive, Electric Vehicle, Renewable Energy",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,1.0,2018
MadGuy Labs,Hyderabad,E-Learning,MadGuy Labs is a Online Test-prep Platform.,150000.0,2018
Dee Dee Labs,Pune,"Embedded Systems, Health Care, Medical, Product Research",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,1.0,2018
FLEECA,Jaipur,—,FLEECA is a Tyre Care Provider company.,1.0,2018
Shop101,Mumbai,"Apps, E-Commerce, Internet",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,11000000.0,2018
FeedMyPockets,Bangalore,"Advertising, Human Resources, Marketing",On Demand Staffing Platform,643373.927742411,2018
Housejoy,Bangalore,"Beauty, Fitness, Home Services, Internet",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,3240000.0,2018
Ambee,Bangalore,"Health Care, Medical Device, Public Safety",Ambee is an Environment analytics startup.,1.0,2018
FoodBuddy,Belgaum,"Food Delivery, Online Portals, Restaurants","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",877328.0832851059,2018
Ninjacart,Bangalore,"AgTech, B2B, Supply Chain Management",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,36555336.80354608,2018
Olly Smart Credit Card,Delhi,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Olly is a digital credit card for India's working masses and young people.,1.0,2018
Zestl,Pune,Software,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",1.0,2018
BYJU’S,Bangalore,"EdTech, Education, Higher Education, Secondary Education",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,540000000.0,2018
Wakefit,Bangalore,"Manufacturing, Retail",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,9504387.568921981,2018
Hero Electric,Delhi,Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",23395415.554269493,2018
Pentation Analytics,Mumbai,"Information Services, Information Technology, InsurTech",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,1.0,2018
PerkFinance,Bangalore,"Consumer Lending, FinTech",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0,2018
Roposo,Gurgaon,"Internet, Social Network, TV",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0,2018
Plum Goodness,Thane,"Beauty, Health Care",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,1.0,2018
Drstore,Mumbai,Hospital,Drstore is a exclusive e- commerce platform.,1.0,2018
Wow Venue,Mumbai,Events,Wow Venue is an online platform.,1500000.0,2018
Chizel,Pune,"3D Printing, Manufacturing, Product Design",Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,1.0,2018
OTO Capital,Mumbai,Automotive,OTO Capital is a platform that allows you to own a car faster than ever.,731106.7360709216,2018
Boodmo,Gurgaon,"Automotive, Retail",boodmo.com - large online marketplace for auto parts in India.,1023549.4304992902,2018
Khabri,Haryana,"Apps, Audio",Khabri is a digital audio platform for content in vernacular.,1.0,2018
MyNewCar.in,Gurgaon,"Automotive, E-Commerce",MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0,2018
HalaPlay Technologies,Bangalore,"Digital Entertainment, Fantasy Sports, Sports",A daily fantasy sports platform.,5000000.0,2018
PlanetSpark,Gurgaon,"E-Learning, EdTech, Education",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,233954.1555426949,2018
WheelsEMI,Pune,—,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",14000000.0,2018
Forum for Innovation Incubation Research and Entrepreneurship,Margão,"Funding Platform, Incubators, Non Profit","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",1498768.8089453892,2018
OYO,Gurgaon,"Hospitality, Hotel, Leisure, Travel",OYO is an Indian hospitality startup that operates a network of budget hotels.,100000000.0,2018
Quikr,Bangalore,"Classifieds, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",8042174.096780138,2018
Tabono,Gurgaon,Sports,Tabono is a one stop environment for all your fitness solution.,1.0,2018
LearnApp,Noida,"Banking, E-Learning, Trading Platform","Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",292442.69442836865,2018
Shopkirana,Indore,"E-Commerce, Mobile, Retail",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2000000.0,2018
Fric Bergen,Alwar,—,Fric Bergen is a leader in the specialty food industry.,1.0,2018
Articbot,Kannur,"Artificial Intelligence, Information Technology",Articbot is a conversational AI platform for automated customer support and lead generation,17546.56166570212,2018
BuildSupply,Gurgaon,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",India’s most advanced ERP system for the real estate,3655533.680354608,2018
Fusion Microfinance,Delhi,"Banking, Finance, Financial Services",Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,76035100.55137585,2018
Any time Doctor,Chennai,Software,Anytime Doctor is a Software company.,1.0,2018
Go Payments,Mumbai,"Information Services, Information Technology",Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,1.0,2018
Guiddoo World,Mumbai,"Audio, Mobile, Tourism, Travel",We build In-Destination Experiences!,800000.0,2018
ION Energy,Mumbai,"Energy, Energy Storage, Infrastructure",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,1041000.0,2018
UnoTag,Bangalore,Artificial Intelligence,SaaS to verify counterfeit,100000.0,2018
CivilCops,Gurgaon,"Government, Information Technology, Software",Gov-Tech,100000.0,2018
Rockmetric,Mumbai,Information Technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",1.0,2018
Classworks India,Chennai,"Education, Information Technology, Internet, Mobile, Software","Saas, Web App, Mobile App, School Education",1462.213472141843,2018
Snapmint,Mumbai,"Consumer Lending, Financial Services, Lending, Personal Finance","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",1.0,2018
artbandhu,Bangalore,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Ai platform for Art and Creative Community,15000.0,2018
Survaider,Bangalore,"Business Intelligence, Customer Service, Market Research, SaaS",Stethoscope for customer feedback !,500000.0,2018
Credy,Bangalore,"Credit, Financial Services, FinTech, Lending",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0,2018
iChamp,Gurgaon,E-Learning,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0,2018
Qandle,Gurgaon,Software,A cloud-based HR management and employee engagement platform.,1200000.0,2018
Avishkaar Box,Delhi,"Children, Education, Parenting","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",731106.7360709216,2018
Gegadyne Energy,Mumbai,"Automotive, Battery, Energy, Energy Storage",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,1.0,2018
HyperXchange,Pune,"E-Commerce, Mobile, Sharing Economy",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0,2018
Deftouch,Bangalore,—,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,1.0,2018
Doodhwala,Bangalore,"Food Delivery, Organic, Organic Food",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018
DronaHQ,Mumbai,Mobile,DronaHQ is an enterprise mobile engagement platform.,500000.0,2018
FastFox,Gurgaon,Rental,FastFox: Market Network for Home Rentals (India),1462213.4721418433,2018
BuyForexOnline,Bangalore,Travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0,2018
Colive.in,Bangalore,Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018
Agricxlab Private Limited,Thane,"B2B, Farming, Marketplace",Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018
Corefactors,Bangalore,—,"Corefactors is a leading campaign management, business communication and analytics company.",1.0,2018
Fincash.com,Mumbai,Wealth Management,A startup in the personal finance space in India .,150000.0,2018
Pandorum Technologies,Bangalore,Biotechnology,Bengaluru based biotech startup.,3600000.0,2018
Shirsa Labs,Mumbai,"Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018
PetSutra,Gurgaon,Veterinary,Gurugram-based Online petcare platform.,138910.2798534751,2018
Awaaz De,Ahmedabad,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,1.0,2018
PinkBlue,Bangalore,"Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018
Eduvanz,Mumbai,"Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018
Rupeek,Bangalore,"Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018
Backpacker Panda Holidays Private Limited,Pune,"Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018
Shape (School Health and Physical Education),Pune,Education,Physical education start up,200000.0,2018
Placio,Noida,"Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,2000000.0,2018
Aviom India Housing Finance,Delhi,Finance,Delhi based housing finance company.,2193320.208212765,2018
GenRobotic,Trivandrum,Market Research,A Robotic Company.,1.0,2018
HeyHolidays,Bangalore,"Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",1000000.0,2018
Pratilipi,Bangalore,"Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018
SectorQube,Ernakulam,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,1.0,2018
Food Memories,Ahmedabad,"Food and Beverage, Food Processing",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,1.0,2018
ZAMROO,India,"Internet, Marketplace, Shopping",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,1.0,2018
Silversparro Technologies Pvt. Ltd,Gurgaon,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,300000.0,2018
Creator’s Gurukul,Gurgaon,Facilities Support Services,A coworking space provider.,1.0,2018
Emflux Motors,Bangalore,"Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018
Tricog Health Services Pvt Ltd,Bangalore,"Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,4000000.0,2018
Scapic,Bangalore,"Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,500000.0,2018
6Degree,Mumbai,"Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018
Chrysalis (EZ Vidya),Chennai,Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,1.0,2018
Ekincare,Hyderabad,Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018
Streo,Gurgaon,Music Streaming,"Live stream music from nightclubs, bars & festivals!",1.0,2018
Groww,Kormangala,"Finance, Impact Investing, Internet",Groww offers a new way of investing money.,120000.0,2018
Cell Propulsion,Bangalore,—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,102354.94304992902,2018
Chezuba,Hyderabad,"Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,20470.988609985805,2018
